Pool Name,Pool Address,Backer Address,USDC Amount,Capped Airdrop GFI,Uncapped Airdrop GFI,Risk Bonus GFI,Modeled Liq. Mining GFI,TOTAL GFI DISTRIBUTION,Immeditely available,Unlocks over 12 months,Return at price
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x8100311305c9f81330d23c33fD9f6FF0093D12D3,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xa911ccf5F6C7BD5fb25188D41A536890c3c8fAE5,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xa911ccf5F6C7BD5fb25188D41A536890c3c8fAE5,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x3Ed23D80c7B9e3a159316b3F47bbDaB738Ba893E,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x0Ae9b28ccBe5CFE2BD4E6731392441023c9d6cB9,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x1E5d6CFb3EeaC9c21065296927BF4D155b3d64C8,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x2b2B7fEC2Ba5854AeF243C21a583d8e61Ee82c32,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x25fb88e70f420aDDb51f9a99B484bE66DFBea327,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x5B191F5A2b4A867c4eD71858dacCc51FC59c69c0,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xDcD7d160815a1c256DDc73b3fAA89391114d8249,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x2CAf97331ffA906B8080165996FE57c6d5EAc986,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xb39Fbb76E7677fF97397a1683D01F04df4cFeD82,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xD5a41BFe8e373C94434eaB2fC81034eC00572b09,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xD21D931890D27b6e7e2e668f27931E17698e90f1,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xF627E5F4BAd95a956468d8BB6Ee20b119F992E96,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x9E817382A12D2b1D15246c4d383bEB8171BCdfA9,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x0e63EE1a039bCC422b1bAaF65C7aE30C497d3FC8,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x6DFf64676CBf88ba26F1B5b2c5fcCCB0c638E3d1,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x07f82CEa5770723207f8544a00023DEb8968755E,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x08e89248C86FbfdDC30ab8130E136D2D66600A12,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x7C712eD41cf47f9bbC9f6e8D2E59ae8C9D3ece11,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x6b970Cd93b6139Ac830D966E2fe94CF81653479e,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x9125147895D5cCA9b75dB073FE9EDAacff5b2b23,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xF846638AaB987d031c79bf12703500d8bD5963A4,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xf3aFc2383a0B45ae73D77B49dF7F2184B1Ad4B90,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x3939d22aF089BdfbB96322744234F69dB1aB52F8,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x1c2CdDC58EAE7A9d6CFd2aA7b8ed7dDaD9900179,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x92b52e6441A9e2E03d080E951249d93dF222f855,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xBc79501610c5ba40959D5fCB9aAdf743C86ba7D9,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xA7f2dfEf34ed820aA790ce55E26925fd5A916D99,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xac5b6d6b47f5D68F7daa1036FE73C844EB954334,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xA223C7692d7a80C98A94Ce0F2AC19Dfeb8FD47Ca,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xEF8aD98bf43063EBe669576B08e1A05519e302f7,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xc60861680f748fb8164e392Dff70ece0577B4389,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x6EfF23b65688CaE71Af19128A7674b7Dd53f7f19,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xA231a5Ae629a0F15e1C1EB3FfBf813589e206926,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x5725a458b319d73B8Ec84c47de80620E7B191B0C,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xa652F1e216E881b3A679D91958a5E93C71828CA6,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x6dF98185315270B653889C796509Cbf7b943b9AA,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x36E36CA99218d21B444B5068dc6ED0C907119651,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x0B0AcdD302e39E6C1549B1698150dF4409B2a7aC,"$10,000.0",874.64,807.40,"1,682.04",649.39,"4,013.4610060","4,013.4610059517700000000",0.000000000000000000000000,401.35%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x7db4F8603483860dF860873eA5AB5D818A4511b1,"$9,999.0",874.64,807.32,"1,681.95",649.32,"4,013.2345870","4,013.2345869644400000000",0.000000000000000000000000,401.36%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x64CEe4d9D5F4f7A231dD53d48c1d19BEBd71DbE0,"$9,950.0",874.64,803.36,"1,678.00",646.14,"4,002.1400566","4,002.1400565852700000000",0.000000000000000000000000,402.23%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xD04aF0D9D6c89533f3B6A02Dd8CC4D12a1BF12d9,"$9,830.0",874.64,793.67,"1,668.31",638.35,"3,974.9697781","3,974.9697781056900000000",0.000000000000000000000000,404.37%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x107cd74419DfC9FF01975e652597c5a4b6706460,"$8,980.0",874.64,725.05,"1,599.68",583.15,"3,782.5136389","3,782.5136388753000000000",0.000000000000000000000000,421.22%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x7AB19aB563eC3e0aa8f2E283513286a58D3A4aE0,"$7,000.0",874.64,565.18,"1,439.82",454.57,"3,334.2040440","3,334.2040439621600000000",0.000000000000000000000000,476.31%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x300Cf71eF3F5443Bd92f24e86fAb1A945EeE3461,"$6,000.0",874.64,484.44,"1,359.08",389.63,"3,107.7850566","3,107.7850566322900000000",0.000000000000000000000000,517.96%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x47547895218274e121E4219A3fD23235377A9903,"$5,007.0",874.64,404.27,"1,278.90",325.15,"2,882.9510022","2,882.9510022137200000000",0.000000000000000000000000,575.78%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x2f500cb2D7df0Dd524f6933133cB21FcE93BD41d,"$5,000.0",874.64,403.70,"1,278.34",324.69,"2,881.3660693","2,881.3660693024100000000",0.000000000000000000000000,576.27%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x59A9A5561D6b863762cF29d45D899c57B1ae5a6C,"$5,000.0",874.64,403.70,"1,278.34",324.69,"2,881.3660693","2,881.3660693024100000000",0.000000000000000000000000,576.27%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xA7C865d8DC45f67EebEa6d994cD95a765CDD802D,"$4,990.0",874.64,402.89,"1,277.53",324.05,"2,879.1018794","2,879.1018794291200000000",0.000000000000000000000000,576.97%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x51102AfCA1fb28C349359643e2A28d8e40B97b8B,"$4,987.0",874.64,402.65,"1,277.29",323.85,"2,878.4226225","2,878.4226224671300000000",0.000000000000000000000000,577.19%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xD8CE05227a1cA1AC606aA7B40a76885E8bB56EEd,"$4,300.0",874.64,347.18,"1,221.82",279.24,"2,722.8727782","2,722.8727781715000000000",0.000000000000000000000000,633.23%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x225c4cfc17d5ee7BF3E682396B12C0F6A7709d7d,"$4,000.0",874.64,322.96,"1,197.60",259.76,"2,654.9470820","2,654.9470819725400000000",0.000000000000000000000000,663.74%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xBFe98Ba61eb224F657D392333F213f6D75CC6972,"$3,802.0",874.64,306.97,"1,181.61",246.90,"2,610.1161225","2,610.1161224812300000000",0.000000000000000000000000,686.51%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x300Cf71eF3F5443Bd92f24e86fAb1A945EeE3461,"$3,333.0",874.64,269.11,"1,143.74",216.44,"2,503.9256174","2,503.9256174235200000000",0.000000000000000000000000,751.25%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x83463F91bAB2062D26D5d83080295a2Ded377501,"$3,000.0",874.64,242.22,"1,116.86",194.82,"2,428.5280946","2,428.5280946426700000000",0.000000000000000000000000,809.51%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xba181DeB98AfC2202202C9AeBf26B18f46D70497,"$3,000.0",874.64,242.22,"1,116.86",194.82,"2,428.5280946","2,428.5280946426700000000",0.000000000000000000000000,809.51%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x6909087e694A492bf3d010dBC065515EF8438057,"$3,000.0",874.64,242.22,"1,116.86",194.82,"2,428.5280946","2,428.5280946426700000000",0.000000000000000000000000,809.51%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xc70Aa0Bc5C372CA2006204C91Af480dacF621Bac,"$3,000.0",874.64,242.22,"1,116.86",194.82,"2,428.5280946","2,428.5280946426700000000",0.000000000000000000000000,809.51%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x2fEa4863082ad91979aA8C011048BA5F3EA2C3fD,"$2,388.0",874.64,192.81,"1,067.44",155.07,"2,289.9596744","2,289.9596743967900000000",0.000000000000000000000000,958.94%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x0773A995E752eec6456Ae887DEC5D4e06479FA9C,"$2,000.0",874.64,161.48,"1,036.12",129.88,"2,202.1091073","2,202.1091073128000000000",0.000000000000000000000000,1101.05%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x984253cAd96157B89255F4674E5362Fc0feb69Ee,"$2,000.0",874.64,161.48,"1,036.12",129.88,"2,202.1091073","2,202.1091073128000000000",0.000000000000000000000000,1101.05%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xf18f071781689B1f5E5bE800cf6B1aBa7d46bc32,"$2,000.0",874.64,161.48,"1,036.12",129.88,"2,202.1091073","2,202.1091073128000000000",0.000000000000000000000000,1101.05%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xB4627d61bE6916EA2faeFFfaAD1F333B5af39914,"$1,500.0",874.64,121.11,995.75,97.41,"2,088.8996136","2,088.8996136478700000000",0.000000000000000000000000,1392.60%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x53baD4E06b7b0244927BB03d43F3171C4b0349BE,"$1,040.0",874.64,83.97,958.61,67.54,"1,984.7468795","1,984.7468794761300000000",0.000000000000000000000000,1908.41%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x107cd74419DfC9FF01975e652597c5a4b6706460,"$1,020.0",874.64,82.35,956.99,66.24,"1,980.2184997","1,980.2184997295300000000",0.000000000000000000000000,1941.39%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x0b4eCF28692614C10Deb7d8579F4878Be3Fd2DE9,"$1,000.0",874.64,80.74,955.38,64.94,"1,975.6901200","1,975.6901199829300000000",0.000000000000000000000000,1975.69%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x1BdCa6a46d69efE0B4c7b1Ac962f240e0e1F040c,"$1,000.0",874.64,80.74,955.38,64.94,"1,975.6901200","1,975.6901199829300000000",0.000000000000000000000000,1975.69%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x8140b5D041490a706da799dd295DbB251b3Fbc7a,"$1,000.0",874.64,80.74,955.38,64.94,"1,975.6901200","1,975.6901199829300000000",0.000000000000000000000000,1975.69%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xE3B62D868904c93F32718f54AB64bF4F3D1F4635,$702.0,818.66,56.68,875.34,45.59,"1,796.2639093","1,796.2639092688300000000",0.000000000000000000000000,2558.78%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x24710BdFbEA631d9d11eed0AeEBFD49FD8e5ff70,$500.0,583.09,40.37,623.46,32.47,"1,279.3902488","1,279.3902487669800000000",0.000000000000000000000000,2558.78%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0xccF9a2f4b558D0a23D2f678adf2dE1DC52fA343E,$399.0,465.31,32.22,497.52,25.91,"1,020.9534185","1,020.9534185160500000000",0.000000000000000000000000,2558.78%
Alma #3,0xefeb69edf6b6999b0e3f2fa856a2acf3bdea4ab5,0x2e2DbFeb78aeD1B732b433C91fEF53e90838865f,$99.0,115.45,7.99,123.45,6.43,253.3192693,253.3192692558610000000,0.000000000000000000000000,2558.78%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x2b2B7fEC2Ba5854AeF243C21a583d8e61Ee82c32,"$750,000.0",874.64,"60,555.00","61,429.64","51,201.30","174,060.5736192",874.6355663265310000000,"173,185.938052899000000000000000",232.08%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0xE11bb2df7F004F190F75E6EC77528Cf30b6afBfb,"$250,000.0",874.64,"20,185.00","21,059.64","17,067.10","59,186.3719615",874.6355663265310000000,"58,311.736395184000000000000000",236.75%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x0Ae9b28ccBe5CFE2BD4E6731392441023c9d6cB9,"$223,450.5",874.64,"18,041.40","18,916.03","15,254.61","53,086.6745391",874.6355663265310000000,"52,212.038972806700000000000000",237.58%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x7Cf20A1BB4CAE92Df714eAf760814860eD5f785F,"$149,937.3",874.64,"12,105.94","12,980.57","10,235.98","36,197.1222696",874.6355663265310000000,"35,322.486703281900000000000000",241.42%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x526C7665C5dd9cD7102C6d42D407a0d9DC1e431d,"$132,900.8",874.64,"10,730.41","11,605.04","9,072.92","32,283.0101503",874.6355663265310000000,"31,408.374583972500000000000000",242.91%
Alma #4,0xe6c30756136e07eb5268c3232efbfbe645c1ba5a,0x7Cf20A1BB4CAE92Df714eAf760814860eD5f785F,"$109,937.7",874.64,"8,876.37","9,751.00","7,505.27","27,007.2784958",874.6355663265310000000,"26,132.642929522800000000000000",245.66%
